,Country,Species,Year,inland_Unit,inland_TON_Value,inland_TON_Flags,COUNTRY_YEAR_SPECIES
244,Belgium,Rudd [Scardinius erythrophthalmus],2014,Tonnes,9.0,Estimated value,BEL_2014_SRE
245,Belgium,Rudd [Scardinius erythrophthalmus],2015,Tonnes,9.0,Estimated value,BEL_2015_SRE
246,Belgium,Rudd [Scardinius erythrophthalmus],2016,Tonnes,9.0,Estimated value,BEL_2016_SRE
247,Belgium,Rudd [Scardinius erythrophthalmus],2017,Tonnes,9.0,Estimated value,BEL_2017_SRE
248,Belgium,Rudd [Scardinius erythrophthalmus],2018,Tonnes,9.0,Estimated value,BEL_2018_SRE
249,Belgium,Rudd [Scardinius erythrophthalmus],2019,Tonnes,9.0,Estimated value,BEL_2019_SRE
250,Belgium,Rudd [Scardinius erythrophthalmus],2020,Tonnes,9.0,Estimated value,BEL_2020_SRE
251,Belgium,Rudd [Scardinius erythrophthalmus],2021,Tonnes,9.0,Estimated value,BEL_2021_SRE
252,Belgium,Tench [Tinca tinca],2010,Tonnes,15.0,,BEL_2010_FTE
253,Belgium,Tench [Tinca tinca],2011,Tonnes,3.0,,BEL_2011_FTE
254,Belgium,Tench [Tinca tinca],2012,Tonnes,3.0,,BEL_2012_FTE
255,Belgium,Tench [Tinca tinca],2013,Tonnes,3.0,Estimated value,BEL_2013_FTE
256,Belgium,Tench [Tinca tinca],2014,Tonnes,3.0,Estimated value,BEL_2014_FTE
257,Belgium,Tench [Tinca tinca],2015,Tonnes,3.0,Estimated value,BEL_2015_FTE
258,Belgium,Tench [Tinca tinca],2016,Tonnes,3.0,Estimated value,BEL_2016_FTE
259,Belgium,Tench [Tinca tinca],2017,Tonnes,3.0,Estimated value,BEL_2017_FTE
260,Belgium,Tench [Tinca tinca],2018,Tonnes,3.0,Estimated value,BEL_2018_FTE
261,Belgium,Tench [Tinca tinca],2019,Tonnes,3.0,Estimated value,BEL_2019_FTE
262,Belgium,Tench [Tinca tinca],2020,Tonnes,3.0,Estimated value,BEL_2020_FTE
263,Belgium,Tench [Tinca tinca],2021,Tonnes,3.0,Estimated value,BEL_2021_FTE
264,Belgium,MISCELLANEOUS FRESHWATER FISHES,2010,Tonnes,60.0,,BEL_2010_13
265,Belgium,MISCELLANEOUS FRESHWATER FISHES,2011,Tonnes,102.0,,BEL_2011_13
266,Belgium,MISCELLANEOUS FRESHWATER FISHES,2012,Tonnes,102.0,,BEL_2012_13
267,Belgium,MISCELLANEOUS FRESHWATER FISHES,2013,Tonnes,102.0,Estimated value,BEL_2013_13
268,Belgium,MISCELLANEOUS FRESHWATER FISHES,2014,Tonnes,102.0,Estimated value,BEL_2014_13
269,Belgium,MISCELLANEOUS FRESHWATER FISHES,2015,Tonnes,102.0,Estimated value,BEL_2015_13
270,Belgium,MISCELLANEOUS FRESHWATER FISHES,2016,Tonnes,102.0,,BEL_2016_13
271,Belgium,MISCELLANEOUS FRESHWATER FISHES,2017,Tonnes,102.0,Estimated value,BEL_2017_13
272,Belgium,MISCELLANEOUS FRESHWATER FISHES,2018,Tonnes,102.0,Estimated value,BEL_2018_13
273,Belgium,MISCELLANEOUS FRESHWATER FISHES,2019,Tonnes,102.0,Estimated value,BEL_2019_13
