,Country,Species,Year,aq_TON,aq_TON_Value,aq_TON_Flags,COUNTRY_YEAR_SPECIES,aq_USD,aq_USD_Value,aq_USD_Flags
190,Australia,FRESHWATER CRUSTACEANS,2014,Tonnes,69.41,,AUS_2014_41,US Dollar,1084630.0,
191,Australia,FRESHWATER CRUSTACEANS,2015,Tonnes,79.03,,AUS_2015_41,US Dollar,1249364.0,
192,Australia,FRESHWATER CRUSTACEANS,2016,Tonnes,84.508,,AUS_2016_41,US Dollar,1662220.0,
193,Australia,FRESHWATER CRUSTACEANS,2017,Tonnes,149.246,,AUS_2017_41,US Dollar,3355929.0,
194,Australia,FRESHWATER CRUSTACEANS,2018,Tonnes,100.289,,AUS_2018_41,US Dollar,1717926.0,
195,Australia,FRESHWATER CRUSTACEANS,2019,Tonnes,73.141,,AUS_2019_41,US Dollar,1559156.0,
196,Australia,FRESHWATER CRUSTACEANS,2020,Tonnes,75.28,,AUS_2020_41,US Dollar,1618867.0,
197,Australia,FRESHWATER CRUSTACEANS,2021,Tonnes,40.6,,AUS_2021_41,US Dollar,954460.0,
198,Australia,Yabby crayfish [Cherax destructor],2012,Tonnes,40.42,,AUS_2012_CDT,US Dollar,712099.0,
199,Australia,Yabby crayfish [Cherax destructor],2013,Tonnes,37.33,,AUS_2013_CDT,US Dollar,695395.0,
200,Australia,Yabby crayfish [Cherax destructor],2014,Tonnes,33.91,,AUS_2014_CDT,US Dollar,470224.0,
201,Australia,Yabby crayfish [Cherax destructor],2015,Tonnes,34.03,,AUS_2015_CDT,US Dollar,466059.0,
202,Australia,Yabby crayfish [Cherax destructor],2016,Tonnes,33.208,,AUS_2016_CDT,US Dollar,665366.0,
203,Australia,Yabby crayfish [Cherax destructor],2017,Tonnes,29.306,,AUS_2017_CDT,US Dollar,715976.0,
204,Australia,Yabby crayfish [Cherax destructor],2018,Tonnes,51.489,,AUS_2018_CDT,US Dollar,821347.0,
205,Australia,Yabby crayfish [Cherax destructor],2019,Tonnes,28.241,,AUS_2019_CDT,US Dollar,725147.0,
206,Australia,Yabby crayfish [Cherax destructor],2020,Tonnes,13.68,,AUS_2020_CDT,US Dollar,380156.0,
207,Australia,Yabby crayfish [Cherax destructor],2021,Tonnes,8.0,,AUS_2021_CDT,US Dollar,278571.0,
208,Australia,Red claw crayfish [Cherax quadricarinatus],2012,Tonnes,41.43,,AUS_2012_CRP,US Dollar,820106.0,
209,Australia,Red claw crayfish [Cherax quadricarinatus],2013,Tonnes,40.9,,AUS_2013_CRP,US Dollar,712463.0,
210,Australia,Red claw crayfish [Cherax quadricarinatus],2014,Tonnes,35.5,,AUS_2014_CRP,US Dollar,614406.0,
211,Australia,Red claw crayfish [Cherax quadricarinatus],2015,Tonnes,45.0,,AUS_2015_CRP,US Dollar,783305.0,
212,Australia,Red claw crayfish [Cherax quadricarinatus],2016,Tonnes,51.3,,AUS_2016_CRP,US Dollar,996854.0,
213,Australia,Red claw crayfish [Cherax quadricarinatus],2017,Tonnes,64.8,,AUS_2017_CRP,US Dollar,1302697.0,
214,Australia,Red claw crayfish [Cherax quadricarinatus],2018,Tonnes,48.8,,AUS_2018_CRP,US Dollar,896579.0,
215,Australia,Red claw crayfish [Cherax quadricarinatus],2019,Tonnes,44.9,,AUS_2019_CRP,US Dollar,834009.0,
216,Australia,Red claw crayfish [Cherax quadricarinatus],2020,Tonnes,61.6,,AUS_2020_CRP,US Dollar,1238711.0,
217,Australia,Red claw crayfish [Cherax quadricarinatus],2021,Tonnes,32.6,,AUS_2021_CRP,US Dollar,675889.0,
218,Australia,"SHRIMPS, PRAWNS",2012,Tonnes,4021.13,,AUS_2012_45,US Dollar,62593987.0,
219,Australia,"SHRIMPS, PRAWNS",2013,Tonnes,3741.7,,AUS_2013_45,US Dollar,57982822.0,
220,Australia,"SHRIMPS, PRAWNS",2014,Tonnes,3774.0,,AUS_2014_45,US Dollar,57260710.0,
221,Australia,"SHRIMPS, PRAWNS",2015,Tonnes,5282.38,,AUS_2015_45,US Dollar,64823661.0,
